"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"prefer_not_to_answer","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","2","Resell","C3871","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","100","Resell","C3871","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","2","Resell","C3947","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","66.67","Resell","C3947","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","C3947","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","33.33","Resell","C3947","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","C4121","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","100","Resell","C4121","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","3","Resell","C4126","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","75","Resell","C4126","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","C4126","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","25","Resell","C4126","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","3","Resell","C4140","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","42.86","Resell","C4140","RQ5","count and percentage"
"between_60_and_80","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","C4140","RQ5","count and percentage"
"between_60_and_80","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","14.29","Resell","C4140","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","C4140","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","14.29","Resell","C4140","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","2","Resell","C4140","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","28.57","Resell","C4140","RQ5","count and percentage"
"prefer_not_to_answer","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","2","Resell","C3871","RQ5","count and percentage"
"prefer_not_to_answer","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","100","Resell","C3871","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","3","Resell","C3947","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","100","Resell","C3947","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","1","Resell","C4121","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","100","Resell","C4121","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","4","Resell","C4126","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","100","Resell","C4126","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","1","Resell","C4126","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","25","Resell","C4126","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","7","Resell","C4140","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","100","Resell","C4140","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","1","Resell","C4140","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","14.29","Resell","C4140","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","98","Resell","SY070000","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","83.05","Resell","SY070000","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","13","Resell","SY070000","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","11.02","Resell","SY070000","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","7","Resell","SY070000","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","5.93","Resell","SY070000","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","79","Resell","SY070005","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","80.61","Resell","SY070005","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","19","Resell","SY070005","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","19.39","Resell","SY070005","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","121","Resell","SY070301","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","89.63","Resell","SY070301","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","14","Resell","SY070301","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","10.37","Resell","SY070301","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","41","Resell","SY070302","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","69.49","Resell","SY070302","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","18","Resell","SY070302","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","30.51","Resell","SY070302","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","5","Resell","SY070000","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","71.43","Resell","SY070000","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","2","Resell","SY070000","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","28.57","Resell","SY070000","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","15","Resell","SY070005","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","78.95","Resell","SY070005","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","1","Resell","SY070005","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","5.26","Resell","SY070005","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","3","Resell","SY070005","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","15.79","Resell","SY070005","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","9","Resell","SY070301","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","64.29","Resell","SY070301","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","5","Resell","SY070301","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","35.71","Resell","SY070301","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","11","Resell","SY070302","RQ5","count and percentage"
