"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q6_1_Do_you_sell_Flour_in_1kg_Flour","counts","2","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"no","Q6_1_Do_you_sell_Flour_in_1kg_Flour","percentage","1.05","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"yes","Q6_1_Do_you_sell_Flour_in_1kg_Flour","counts","188","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"yes","Q6_1_Do_you_sell_Flour_in_1kg_Flour","percentage","98.95","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"no","Q6_5_Is_this_price_also_the_price_for_the_most_preferred_brand_of_this_item_by_customers_in_your_shop_Flour","counts","7","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"no","Q6_5_Is_this_price_also_the_price_for_the_most_preferred_brand_of_this_item_by_customers_in_your_shop_Flour","percentage","3.68","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"yes","Q6_5_Is_this_price_also_the_price_for_the_most_preferred_brand_of_this_item_by_customers_in_your_shop_Flour","counts","183","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"yes","Q6_5_Is_this_price_also_the_price_for_the_most_preferred_brand_of_this_item_by_customers_in_your_shop_Flour","percentage","96.32","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"","Q6_7_Assuming_the_demand_remains_constant_how_many_days_do_you_estimate_your_current_stock_of_this_item_to_last_Flour","","8","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","Median"
"within_1_to_2_days","Q6_8_If_you_order_from_your_supplier_today_how_many_days_do_you_estimate_it_would_take_for_you_to_restock_this_item_Flour","counts","190","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"within_1_to_2_days","Q6_8_If_you_order_from_your_supplier_today_how_many_days_do_you_estimate_it_would_take_for_you_to_restock_this_item_Flour","percentage","100","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"","Q6_9_On_average_what_was_the_volume_of_purchases_of_this_item_from_your_shop_in_the_past_week_Flour","","50","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","Median"
"International","Q6_10_What_is_the_origin_of_this_item_available_at_the_shop_Flour","counts","183","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"International","Q6_10_What_is_the_origin_of_this_item_available_at_the_shop_Flour","percentage","96.32","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
"Local","Q6_10_What_is_the_origin_of_this_item_available_at_the_shop_Flour","counts","7","Core Questions - repeat for each item (for dry food and for fresh food)","Overall","RQ1","count and percentage"
